scenario,operation_state,method,total_unserved_energy_kwh,maximum_unserved_power_kw,unserved_points,critical_demand_energy_kwh,critical_unserved_energy_kwh,critical_maximum_unserved_power_kw,critical_served_fraction,essential_demand_energy_kwh,essential_unserved_energy_kwh,essential_maximum_unserved_power_kw,essential_served_fraction,interruptible_demand_energy_kwh,interruptible_unserved_energy_kwh,interruptible_maximum_unserved_power_kw,interruptible_served_fraction
one_generator_unavailable,drilling,priority-greedy,472.8079395833335,723.6687999999999,1187,25778.767550097222,5.550795423611122,74.01783999999998,0.9997846756865771,14061.145936416664,261.14573013888895,433.10063999999994,0.981427848674655,7030.572968208332,206.11141402083337,231.267225,0.9706835538223055
one_generator_unavailable,idle,priority-greedy,0.0,0.0,0,249.6118389722222,0.0,0.0,1.0,71.3176682777778,0.0,0.0,1.0,35.6588341388889,0.0,0.0,1.0
one_generator_unavailable,maintenance,priority-greedy,0.0,0.0,0,577.505781611111,0.0,0.0,1.0,165.00165188888892,0.0,0.0,1.0,82.50082594444446,0.0,0.0,1.0
one_generator_unavailable,tripping,priority-greedy,150.20779680555557,815.9126,334,4586.814192729166,57.96277206944445,467.33160499999997,0.9873631741697049,2116.991165875,78.34701267361112,301.91276999999997,0.962991336980271,352.83186097916666,13.898012062500001,50.318795,0.9606100990315026
one_generator_unavailable,circulation,HiGHS-priority-LP,460.2724055555556,392.55340000000007,1436,3078.987770444445,74.33059009722218,132.17206,0.9758587576051032,879.7107915555557,226.0404372222222,173.58756000000002,0.7430514216808408,439.85539577777786,159.90137823611113,89.0965,0.6364683035128755
one_generator_unavailable,connection,HiGHS-priority-LP,0.0,0.0,0,1086.3872651666666,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0
one_generator_unavailable,drilling,HiGHS-priority-LP,472.8079395833335,723.6687999999999,1187,25778.767550097222,5.550795423611122,74.01783999999998,0.9997846756865771,14061.145936416664,261.14573013888895,433.10063999999994,0.981427848674655,7030.572968208332,206.11141402083337,231.267225,0.9706835538223055
one_generator_unavailable,idle,HiGHS-priority-LP,0.0,0.0,0,249.6118389722222,0.0,0.0,1.0,71.3176682777778,0.0,0.0,1.0,35.6588341388889,0.0,0.0,1.0
one_generator_unavailable,maintenance,HiGHS-priority-LP,0.0,0.0,0,577.505781611111,0.0,0.0,1.0,165.00165188888892,0.0,0.0,1.0,82.50082594444446,0.0,0.0,1.0
one_generator_unavailable,tripping,HiGHS-priority-LP,150.20779680555557,815.9126,334,4586.814192729166,57.96277206944445,467.33160499999997,0.9873631741697049,2116.991165875,78.34701267361112,301.91276999999997,0.962991336980271,352.83186097916666,13.898012062500001,50.318795,0.9606100990315026
storage_derate_350kw,circulation,proportional-curtailment,74.72560499999997,152.5534,662,3078.987770444445,52.30792349999999,106.78737999999998,0.9830113246950476,879.7107915555557,14.945120999999999,30.510680000000008,0.9830113246950476,439.85539577777786,7.472560499999999,15.255340000000004,0.9830113246950476
storage_derate_350kw,connection,proportional-curtailment,0.0,0.0,0,1086.3872651666666,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0
storage_derate_350kw,drilling,proportional-curtailment,223.29105222222228,483.6688,658,25778.767550097222,122.81007872222226,266.01784,0.9952359988318464,14061.145936416664,66.98731566666667,145.10064,0.9952359988318464,7030.572968208332,33.49365783333334,72.55032,0.9952359988318464
storage_derate_350kw,idle,proportional-curtailment,0.0,0.0,0,249.6118389722222,0.0,0.0,1.0,71.3176682777778,0.0,0.0,1.0,35.6588341388889,0.0,0.0,1.0
storage_derate_350kw,maintenance,proportional-curtailment,0.0,0.0,0,577.505781611111,0.0,0.0,1.0,165.00165188888892,0.0,0.0,1.0,82.50082594444446,0.0,0.0,1.0
storage_derate_350kw,tripping,proportional-curtailment,68.20395722222221,575.9126,221,4586.814192729166,44.332572194444445,374.34319,0.9903347791448106,2116.991165875,20.461187166666665,172.77378,0.9903347791448106,352.83186097916666,3.4101978611111115,28.79563,0.9903347791448106
storage_derate_350kw,circulation,priority-greedy,74.72560499999997,152.5534,662,3078.987770444445,0.0,0.0,1.0,879.7107915555557,9.665422763888877,65.75962000000001,0.989012954192823,439.85539577777786,65.0601822361111,86.79378000000001,0.8520873385648301
storage_derate_350kw,connection,priority-greedy,0.0,0.0,0,1086.3872651666666,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0
storage_derate_350kw,drilling,priority-greedy,223.29105222222228,483.6687999999999,658,25778.767550097222,0.0,0.0,1.0,14061.145936416664,62.80413340277779,267.1184799999999,0.99553349821652,7030.572968208332,160.48691881944447,216.55031999999997,0.9771729957792696
storage_derate_350kw,idle,priority-greedy,0.0,0.0,0,249.6118389722222,0.0,0.0,1.0,71.3176682777778,0.0,0.0,1.0,35.6588341388889,0.0,0.0,1.0
storage_derate_350kw,maintenance,priority-greedy,0.0,0.0,0,577.505781611111,0.0,0.0,1.0,165.00165188888892,0.0,0.0,1.0,82.50082594444446,0.0,0.0,1.0
storage_derate_350kw,tripping,priority-greedy,68.20395722222221,575.9126,221,4586.814192729166,11.288259201388891,227.33160499999997,0.9975389761330898,2116.991165875,44.95579003472223,298.78371,0.9787642996534939,352.83186097916666,11.959907986111112,50.318795,0.9661030952450824
storage_derate_350kw,circulation,HiGHS-priority-LP,74.72560499999999,152.5534,662,3078.987770444445,0.0,0.0,1.0,879.7107915555557,9.665422763888877,65.75962000000001,0.989012954192823,439.85539577777786,65.0601822361111,86.79378000000001,0.8520873385648301
storage_derate_350kw,connection,HiGHS-priority-LP,0.0,0.0,0,1086.3872651666666,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0,362.12908838888893,0.0,0.0,1.0
storage_derate_350kw,drilling,HiGHS-priority-LP,223.29105222222228,483.6687999999999,658,25778.767550097222,0.0,0.0,1.0,14061.145936416664,62.80413340277779,267.1184799999999,0.99553349821652,7030.572968208332,160.4869188194445,216.55031999999997,0.9771729957792696
storage_derate_350kw,idle,HiGHS-priority-LP,0.0,0.0,0,249.6118389722222,0.0,0.0,1.0,71.3176682777778,0.0,0.0,1.0,35.6588341388889,0.0,0.0,1.0
