load_kw,grid_kw,generator_kw,generator_units_on,storage_kw,charge_kw,discharge_kw,unserved_kw,spill_kw,soc,grid_headroom_storage_preservation_kw,grid_headroom_storage_charge_kw,v15_generator_first_guard_active,decision_seconds,generator_startup_units,generator_shutdown_units,step,risk_level,risk_reserve_kw,applied_risk_reserve_kw,forecast_scenario_count,cvar_alpha,cvar_weight,minimum_committed_generator_units,low_soc_commitment_guard_evaluated,low_soc_commitment_guard_triggered,low_soc_commitment_reachability_truncated,low_soc_commitment_forecast_peak_kw,low_soc_single_unit_firm_supply_kw,low_soc_commitment_deficit_kw,generator_before_storage,supervisory_protection_active,supervisory_safe_exit_counter,selected_controller,grid_available_capacity_kw,generator_available_capacity_kw,storage_available_power_kw
496.5,596.5,0.0,0,-100.0,100.0,0.0,0.0,0.0,0.609954145958539,0.0,0.0,False,2.9757997253909707e-05,0,0,0,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Rule-Based,756.2806335901839,498.3316513468892,495.7642917889305
485.0,585.0,0.0,0,-100.0,100.0,0.0,0.0,0.0,0.6109462094506025,0.0,0.0,False,2.406100247753784e-05,0,0,1,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Rule-Based,755.0369729636288,496.9025054447313,495.4398317516525
487.0,587.0,0.0,0,-100.0,100.0,0.0,0.0,0.0,0.611938272942666,0.0,0.0,False,2.188399957958609e-05,0,0,2,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Rule-Based,753.374755645358,495.1120496078848,495.7954596657492
487.0,587.0,0.0,0,-100.0,100.0,0.0,0.0,0.0,0.6129303364347295,0.0,0.0,False,2.335899625904858e-05,0,0,3,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Rule-Based,752.9337609527466,494.3239540163676,494.9944164086873
491.5,591.5,0.0,0,-100.0,100.0,0.0,0.0,0.0,0.613922399926793,0.0,0.0,False,2.2289998014457524e-05,0,0,4,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Rule-Based,754.7034122006637,494.3608626953168,493.2113780358984
494.5,594.5,0.0,0,-100.0,100.0,0.0,0.0,0.0,0.6149144634188565,0.0,0.0,False,2.1200998162385076e-05,0,0,5,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Rule-Based,758.9063895673569,494.48418154897865,492.7644532451328
486.5,586.5,0.0,0,-100.0,100.0,0.0,0.0,0.0,0.61590652691092,0.0,0.0,False,2.0719002350233495e-05,0,0,6,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Rule-Based,761.7861014527151,494.42845939349,493.8292933066835
482.5,582.5,0.0,0,-100.0,100.0,0.0,0.0,0.0,0.6168985904029834,0.0,0.0,False,2.0667001081164926e-05,0,0,7,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Rule-Based,760.4827324393918,496.03474117980574,495.161799178498
479.5,579.5,0.0,0,-100.0,100.0,0.0,0.0,0.0,0.6178906538950469,0.0,0.0,False,2.100600249832496e-05,0,0,8,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Rule-Based,756.740704422217,496.46877123353255,496.4650185028685
478.0,578.0,0.0,0,-100.0,100.0,0.0,0.0,0.0,0.6188827173871104,0.0,0.0,False,2.120799763360992e-05,0,0,9,0,0.0,0.0,1,,,0,False,False,False,,,,False,False,0,Rule-Based,755.6245115341204,497.9379898039267,496.6390898614766
